hour_utc,sessions_active,n_sessions,BTCUSDT_range_bps,BTCUSDT_volume,BTCUSDT_trades,ETHUSDT_range_bps,ETHUSDT_volume,ETHUSDT_trades,SOLUSDT_range_bps,SOLUSDT_volume,SOLUSDT_trades,DOGEUSDT_range_bps,DOGEUSDT_volume,DOGEUSDT_trades,XRPUSDT_range_bps,XRPUSDT_volume,XRPUSDT_trades
00:00,Tokyo,1,18.42,21242838.0,4802.0,25.92,10557347.0,4022.0,43.06,4559918.0,3409.0,40.79,1552809.0,3197.0,34.06,2497667.0,2846.0
01:00,Tokyo,1,18.29,20264477.0,4621.0,25.55,10210691.0,3896.0,40.84,4277168.0,3197.0,38.82,1398683.0,2887.0,31.89,2209671.0,2518.0
02:00,Tokyo,1,16.3,18633740.0,4188.0,22.89,9223009.0,3477.0,37.08,3999447.0,2886.0,34.59,1295870.0,2590.0,28.38,1934232.0,2217.0
03:00,Tokyo,1,13.98,15807553.0,3485.0,19.45,7949417.0,2974.0,32.62,3567098.0,2547.0,30.82,1175465.0,2295.0,25.23,1655902.0,1849.0
04:00,Tokyo,1,12.84,14984317.0,3234.0,18.13,7446490.0,2747.0,31.57,3446013.0,2415.0,29.99,1193336.0,2230.0,24.45,1637808.0,1790.0
05:00,Tokyo,1,12.75,14633350.0,3156.0,18.18,7587534.0,2746.0,31.14,3475013.0,2438.0,29.53,1131108.0,2213.0,24.63,1746332.0,1856.0
06:00,Tokyo,1,13.21,15605795.0,3424.0,18.77,8218406.0,2974.0,31.75,3605497.0,2561.0,30.18,1208286.0,2261.0,25.98,1941520.0,1972.0
07:00,Tokyo + London,2,13.87,18097511.0,3893.0,19.67,9083363.0,3266.0,32.59,3778492.0,2711.0,31.18,1242282.0,2354.0,27.11,2107127.0,2172.0
08:00,Tokyo + London,2,14.75,19146479.0,4119.0,21.15,9958758.0,3560.0,33.96,4074362.0,2856.0,32.49,1354521.0,2502.0,28.72,2327607.0,2396.0
09:00,London,1,14.37,18319398.0,3919.0,20.43,9302852.0,3289.0,33.09,3915598.0,2801.0,31.45,1244958.0,2338.0,27.49,2129900.0,2211.0
10:00,London,1,13.82,17714189.0,3790.0,19.6,8853860.0,3117.0,32.11,3852189.0,2740.0,30.61,1265052.0,2255.0,26.9,2026021.0,2113.0
11:00,London,1,14.25,18669758.0,3922.0,19.78,9088914.0,3190.0,32.31,3834169.0,2745.0,30.36,1276171.0,2317.0,26.98,2196188.0,2202.0
12:00,London + New York,2,17.78,26194398.0,5446.0,23.81,12367555.0,4164.0,38.16,5025719.0,3543.0,35.54,1535148.0,2863.0,30.91,2720063.0,2758.0
13:00,London + New York,2,21.99,35931901.0,7279.0,28.8,16245877.0,5424.0,43.98,6371597.0,4311.0,41.53,1947681.0,3568.0,35.34,3335566.0,3434.0
14:00,London + New York,2,27.38,48908879.0,10053.0,35.06,21278567.0,7326.0,50.18,7973406.0,5340.0,47.06,2236455.0,4229.0,39.57,3840379.0,3982.0
15:00,London + New York,2,26.17,43883990.0,9342.0,33.47,19478543.0,6878.0,49.51,7601478.0,5204.0,45.69,2097744.0,4022.0,39.18,3678012.0,3927.0
16:00,New York,1,23.48,36090592.0,7666.0,30.91,17940248.0,6081.0,46.91,6494311.0,4571.0,45.62,2018144.0,3899.0,37.53,3240963.0,3523.0
17:00,New York,1,22.18,31998575.0,6907.0,29.1,15091484.0,5333.0,43.12,5688352.0,4057.0,41.31,1720241.0,3451.0,34.47,2764795.0,3103.0
18:00,New York,1,21.02,28378677.0,6197.0,27.5,13386917.0,4855.0,40.83,5185746.0,3745.0,38.41,1494952.0,3049.0,32.85,2445694.0,2799.0
19:00,New York,1,20.6,27461112.0,5890.0,26.42,12552040.0,4483.0,39.07,4884091.0,3492.0,36.41,1403143.0,2758.0,31.91,2357818.0,2717.0
20:00,New York,1,20.03,26280320.0,5757.0,26.06,12399872.0,4412.0,39.11,4793692.0,3425.0,36.3,1434481.0,2824.0,32.67,2489678.0,2811.0
21:00,Quiet,0,18.84,21681315.0,4897.0,25.39,10772527.0,3826.0,37.74,4170537.0,3145.0,35.62,1290430.0,2708.0,32.76,2188061.0,2561.0
22:00,Quiet,0,17.86,19576052.0,4421.0,24.11,9800766.0,3536.0,36.49,3846794.0,2846.0,33.73,1206440.0,2552.0,28.84,1925041.0,2271.0
23:00,Quiet,0,15.83,17411257.0,3959.0,21.41,8367846.0,3184.0,33.45,3537028.0,2573.0,30.7,1077525.0,2170.0,25.98,1758031.0,1987.0
