month,BTCUSDT_range_bps,BTCUSDT_volume,ETHUSDT_range_bps,ETHUSDT_volume,SOLUSDT_range_bps,SOLUSDT_volume,DOGEUSDT_range_bps,DOGEUSDT_volume,XRPUSDT_range_bps,XRPUSDT_volume
Jan,18.45,22307440.0,23.14,9375500.0,43.67,4554024.0,33.73,1202653.0,30.04,2592625.0
Feb,20.9,23278510.0,29.26,10721365.0,40.77,3957377.0,35.01,878517.0,34.01,2360870.0
Mar,25.56,29139653.0,29.64,9092114.0,46.75,4270471.0,50.65,1421298.0,39.83,2514465.0
Apr,20.08,25849532.0,26.67,9137410.0,39.48,3939817.0,42.12,1414298.0,30.86,1941052.0
May,15.89,22481506.0,23.51,10958844.0,30.35,3530133.0,32.55,1188148.0,23.08,1347174.0
Jun,14.0,20318969.0,19.9,10657190.0,32.6,3215951.0,26.47,690267.0,22.83,1250019.0
Jul,14.29,21346418.0,20.51,13003211.0,35.5,4657869.0,35.57,1408979.0,34.04,3580259.0
Aug,16.11,22823103.0,23.98,16878307.0,34.12,6000248.0,31.1,1071135.0,28.72,2294447.0
Sep,13.01,18936292.0,17.97,10931631.0,27.32,4961681.0,24.57,1167430.0,19.48,1332941.0
Oct,16.48,26613960.0,21.71,12140386.0,34.74,5606063.0,32.29,1442584.0,24.46,1613848.0
Nov,20.68,29779196.0,29.01,13692087.0,46.76,6308190.0,49.92,3598216.0,43.47,3403847.0
Dec,18.98,26184994.0,25.3,12731589.0,40.95,5067307.0,36.16,2083081.0,35.81,4225314.0
