symbol,threshold,n_surges,fwd_1_ratio,fwd_2_ratio,fwd_3_ratio,fwd_6_ratio,fwd_12_ratio
BTCUSDT,1σ,51235,2.145907066434742,2.026721411706438,1.9690107441719162,1.8644724403932045,1.7435961885608302
BTCUSDT,2σ,8179,3.331790515815067,2.9901986886556586,2.8266392798847306,2.5373383397809555,2.222984375540333
BTCUSDT,3σ,512,6.1839400024000435,4.919503408322118,4.44039728235436,3.6770233094006133,3.0217855026603435
ETHUSDT,1σ,52420,2.0202219704037914,1.9149176884702646,1.8667825673775351,1.783780844741216,1.6932499049152387
ETHUSDT,2σ,7105,2.994145840691271,2.679367763568974,2.5387801804448835,2.301386527616382,2.074573917953818
ETHUSDT,3σ,350,5.768545774343012,4.664942287805712,4.120319973682911,3.376861368734021,2.7650026145100677
SOLUSDT,1σ,47960,1.6494124169864983,1.5873010747076388,1.559289463806671,1.4952041441978559,1.4274844546093826
SOLUSDT,2σ,4277,2.6159847572005095,2.3609563110121217,2.2489202002732456,2.044780620576598,1.8352131318828067
SOLUSDT,3σ,169,5.5583582626819785,4.354143886197475,3.936936379162538,3.0529712503747968,2.5312681996596735
DOGEUSDT,1σ,50930,2.113132203686631,2.040568723543665,2.0099898758497154,1.9420431635287276,1.8710889285082803
DOGEUSDT,2σ,4964,3.9167115956823033,3.603179197108006,3.4420559793258585,3.1485264526745373,2.843943818025211
DOGEUSDT,3σ,176,8.907505330561179,7.44147965827039,6.909142346412735,5.826587945288062,4.83357796887713
XRPUSDT,1σ,55400,2.094669629039265,2.0270154838377534,2.005087698507901,1.938198514094891,1.8710571268818648
XRPUSDT,2σ,7409,3.889886544255822,3.61126811185013,3.4781148549390246,3.2117089580594476,2.925170990301697
XRPUSDT,3σ,389,8.992282831727218,7.749390709813771,7.170912146364493,5.8717629673865215,4.852150205125485
