symbol,octant,phase_name,avg_range_bps,n_bars
BTCUSDT,0,New Moon,21.79,28877
BTCUSDT,1,Waxing Crescent,20.39,28691
BTCUSDT,2,First Quarter,20.85,29504
BTCUSDT,3,Waxing Gibbous,18.97,29588
BTCUSDT,4,Full Moon,19.05,29751
BTCUSDT,5,Waning Gibbous,19.79,29367
BTCUSDT,6,Last Quarter,20.93,29908
BTCUSDT,7,Waning Crescent,20.28,29322
ETHUSDT,0,New Moon,27.81,28877
ETHUSDT,1,Waxing Crescent,26.39,28691
ETHUSDT,2,First Quarter,26.77,29504
ETHUSDT,3,Waxing Gibbous,26.21,29588
ETHUSDT,4,Full Moon,26.09,29751
ETHUSDT,5,Waning Gibbous,26.12,29367
ETHUSDT,6,Last Quarter,27.01,29908
ETHUSDT,7,Waning Crescent,26.44,29322
SOLUSDT,0,New Moon,42.47,28877
SOLUSDT,1,Waxing Crescent,39.11,28691
SOLUSDT,2,First Quarter,40.81,29504
SOLUSDT,3,Waxing Gibbous,37.96,29588
SOLUSDT,4,Full Moon,38.97,29751
SOLUSDT,5,Waning Gibbous,42.59,29367
SOLUSDT,6,Last Quarter,41.1,29908
SOLUSDT,7,Waning Crescent,41.43,29322
DOGEUSDT,0,New Moon,37.56,28877
DOGEUSDT,1,Waxing Crescent,36.94,28691
DOGEUSDT,2,First Quarter,38.05,29504
DOGEUSDT,3,Waxing Gibbous,37.31,29588
DOGEUSDT,4,Full Moon,37.45,29751
DOGEUSDT,5,Waning Gibbous,38.37,29367
DOGEUSDT,6,Last Quarter,39.92,29908
DOGEUSDT,7,Waning Crescent,38.03,29322
XRPUSDT,0,New Moon,36.4,28877
XRPUSDT,1,Waxing Crescent,32.47,28691
XRPUSDT,2,First Quarter,33.65,29504
XRPUSDT,3,Waxing Gibbous,31.41,29588
XRPUSDT,4,Full Moon,32.43,29751
XRPUSDT,5,Waning Gibbous,32.95,29367
XRPUSDT,6,Last Quarter,31.79,29908
XRPUSDT,7,Waning Crescent,32.85,29322
